,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,위도,경도
0,서울중부경찰서,2,2,3,2,105,65,"1,395",477,"1,355","1,170",37.5636465,126.9895796
1,서울종로경찰서,3,3,6,5,115,98,"1,070",413,"1,278","1,070",37.5755578,126.9848674
2,서울남대문경찰서,1,0,6,4,65,46,"1,153",382,869,794,37.5547584,126.9734981
3,서울서대문경찰서,2,2,5,4,154,124,"1,812",738,"2,056","1,711",37.5647848,126.9667762
4,서울혜화경찰서,3,2,5,4,96,63,"1,114",424,"1,015",861,37.5718401,126.9988562
5,서울용산경찰서,5,5,14,14,194,173,"1,557",587,"2,050","1,704",37.5411211,126.9676935
6,서울성북경찰서,2,2,2,1,86,71,953,409,"1,194","1,015",37.5897271,127.0161318
7,서울동대문경찰서,5,5,13,13,173,146,"1,981",814,"2,548","2,227",37.58506149999999,127.0457679
8,서울마포경찰서,8,8,14,10,294,247,"2,555",813,"2,983","2,519",37.550814,126.954028
9,서울영등포경찰서,14,12,22,20,295,183,"2,964",978,"3,572","2,961",37.5257884,126.901006
10,서울성동경찰서,4,4,9,8,126,119,"1,607",597,"1,612","1,395",37.5617309,127.0363806
11,서울동작경찰서,5,5,9,5,285,139,"1,865",661,"1,910","1,587",37.5130685,126.9428078
12,서울광진경찰서,4,4,14,26,240,220,"3,026","1,277","2,625","2,180",37.542873,127.083821
13,서울서부경찰서,2,2,2,1,70,59,819,293,"1,192","1,038",37.6128611,126.9274951
14,서울강북경찰서,7,8,14,13,153,126,"1,434",618,"2,649","2,348",37.6373881,127.0273238
15,서울금천경찰서,3,4,6,6,151,122,"1,567",888,"2,054","1,776",37.4814051,126.9099508
16,서울중랑경찰서,13,12,11,9,187,148,"2,135",829,"2,847","2,407",37.618692,127.1047136
17,서울강남경찰서,3,3,15,12,300,225,"2,411",984,"2,465","2,146",37.5094352,127.0669578
18,서울관악경찰서,9,8,12,14,320,221,"2,706",827,"3,298","2,642",37.4743789,126.9509748
19,서울강서경찰서,7,8,13,13,262,191,"2,096","1,260","3,207","2,718",37.5397827,126.8299968
20,서울강동경찰서,4,3,6,8,156,123,"2,366",789,"2,712","2,248",37.528511,127.1268224
21,서울종암경찰서,3,3,3,3,64,53,832,332,"1,015",840,37.6020592,127.0321577
22,서울구로경찰서,8,6,15,11,281,164,"2,335",889,"3,007","2,432",37.494931,126.886731
23,서울서초경찰서,7,4,8,5,334,193,"1,982",905,"1,852","1,607",37.4956054,127.0052504
24,서울양천경찰서,3,5,6,3,120,105,"1,890",672,"2,509","2,030",37.5165667,126.8656763
25,서울송파경찰서,11,10,13,10,220,178,"3,239","1,129","3,295","2,786",37.5019065,127.1271513
26,서울노원경찰서,10,10,7,7,197,121,"2,193",801,"2,723","2,329",37.6423605,127.0714027
27,서울방배경찰서,1,2,1,1,59,56,653,186,547,491,37.4815453,126.9829992
28,서울은평경찰서,1,1,7,5,96,82,"1,095",418,"1,461","1,268",37.6283597,126.9287226
29,서울도봉경찰서,3,3,9,10,102,106,"1,063",478,"1,487","1,303",37.6533589,127.052682
30,서울수서경찰서,10,7,6,6,149,124,"1,439",666,"1,819","1,559",37.49349,127.0772119
